AGENCE;EXPL;CLIENT;CODAPE;IDP;ANOMALIE_AGE;ANOMALIE_DATE_EER;ANOMALIE_CIN;;
1017;SR;580717;;194834;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580766;;196148;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;580787;;196768;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580809;;197445;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580856;Particuliers non commerciaux;198697;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580908;Particuliers non commerciaux;200004;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580934;Particuliers non commerciaux;201103;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580976;Particuliers non commerciaux;934002;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581001;Particuliers non commerciaux;935851;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580986;Particuliers non commerciaux;934730;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581186;Particuliers non commerciaux;945239;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581139;Particuliers non commerciaux;944204;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581140;Particuliers non commerciaux;944226;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581084;Particuliers non commerciaux;941189;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581190;Particuliers non commerciaux;945382;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581360;Particuliers non commerciaux;951320;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581327;Particuliers non commerciaux;949919;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581289;Particuliers non commerciaux;948794;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581313;Particuliers non commerciaux;949482;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581383;Particuliers non commerciaux;952277;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581491;Particuliers non commerciaux;957642;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581445;Particuliers non commerciaux;955653;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;581478;Particuliers non commerciaux;956543;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581602;Particuliers non commerciaux;963248;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581619;Particuliers non commerciaux;964675;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581513;Particuliers non commerciaux;958927;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581502;Particuliers non commerciaux;958161;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581734;Particuliers non commerciaux;972808;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581761;Particuliers non commerciaux;974188;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581831;Particuliers non commerciaux;978131;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581875;Particuliers non commerciaux;980548;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581966;Particuliers non commerciaux;984375;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581921;Particuliers non commerciaux;982382;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;582296;Particuliers non commerciaux;989571;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;582224;Particuliers non commerciaux;989305;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581987;Particuliers non commerciaux;984801;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582752;Particuliers non commerciaux;994312;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582684;Particuliers non commerciaux;993939;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582310;Particuliers non commerciaux;989719;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582044;Particuliers non commerciaux;986204;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582515;Particuliers non commerciaux;991935;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;582736;Particuliers non commerciaux;994247;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582007;Particuliers non commerciaux;985142;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583081;Particuliers non commerciaux;998570;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583044;Particuliers non commerciaux;998074;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583212;Particuliers non commerciaux;1000930;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583246;Particuliers non commerciaux;1002445;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;583278;Particuliers non commerciaux;1003946;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583283;Particuliers non commerciaux;1004281;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583297;Particuliers non commerciaux;1005297;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583433;Particuliers non commerciaux;1013567;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583474;Particuliers non commerciaux;1015912;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583559;Particuliers non commerciaux;1017348;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583562;Particuliers non commerciaux;1017573;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581777;Particuliers non commerciaux;975029;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583663;Particuliers non commerciaux;1024514;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583710;Particuliers non commerciaux;1025492;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583722;Particuliers non commerciaux;1025635;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583825;Particuliers non commerciaux;1027853;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583886;Particuliers non commerciaux;1029545;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583881;Particuliers non commerciaux;1029208;;;ANOMALIE - Document d'identité expiré;;
1017;SR;584016;Particuliers non commerciaux;1034728;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;584048;Particuliers non commerciaux;1036921;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;584216;Particuliers non commerciaux;1043068;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;584259;Particuliers non commerciaux;1043927;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;584228;Particuliers non commerciaux;1043436;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;584240;Particuliers non commerciaux;1043530;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581771;Particuliers non commerciaux;974709;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;707891;AUTRES COMMUNICATIONS;35528;;;ANOMALIE - Document d'identité expiré;;
1017;SR;211492;PARTICULIERS SALARIES;58500;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577362;;123967;;;ANOMALIE - Document d'identité expiré;;
1017;SR;311273;;45013;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577282;COMMERCE DE DETAIL;123029;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577278;Autres services NCA;122956;;;ANOMALIE - Document d'identité expiré;;
